;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
202401;Enero de 2024;1;Andalucía;4;Almería;04054;Illar;10;<5;<5;0;<5;<5;0;0;0;0;10
202401;Enero de 2024;1;Andalucía;4;Almería;04055;Instinción;8;<5;<5;0;0;<5;0;<5;0;<5;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04056;Laroya;<5;0;0;0;0;<5;0;0;0;0;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04057;Láujar de Andarax;37;5;14;0;9;8;<5;<5;<5;5;30
202401;Enero de 2024;1;Andalucía;4;Almería;04058;Líjar;<5;0;0;0;0;<5;0;<5;0;0;0
202401;Enero de 2024;1;Andalucía;4;Almería;04059;Lubrín;28;7;8;<5;<5;11;0;5;0;7;16
202401;Enero de 2024;1;Andalucía;4;Almería;04060;Lucainena de las Torres;46;5;31;<5;0;7;0;11;5;22;8
202401;Enero de 2024;1;Andalucía;4;Almería;04061;Lúcar;13;0;<5;0;<5;11;0;5;<5;0;7
202401;Enero de 2024;1;Andalucía;4;Almería;04062;Macael;62;30;10;6;9;7;0;0;38;5;19
202401;Enero de 2024;1;Andalucía;4;Almería;04063;María;19;8;<5;0;<5;6;0;12;<5;0;5
202401;Enero de 2024;1;Andalucía;4;Almería;04064;Mojácar;247;37;77;<5;51;68;11;57;0;9;181
202401;Enero de 2024;1;Andalucía;4;Almería;04065;Nacimiento;11;<5;<5;<5;<5;<5;<5;<5;5;0;5
202401;Enero de 2024;1;Andalucía;4;Almería;04066;Níjar;1340;498;192;35;271;324;20;612;14;61;653
202401;Enero de 2024;1;Andalucía;4;Almería;04067;Ohanes;8;<5;<5;0;<5;<5;0;0;0;0;8
202401;Enero de 2024;1;Andalucía;4;Almería;04068;Olula de Castro;<5;0;0;0;0;0;<5;0;0;0;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04069;Olula del Río;64;19;8;<5;16;16;<5;0;10;<5;50
202401;Enero de 2024;1;Andalucía;4;Almería;04070;Oria;90;14;34;6;8;25;<5;14;0;5;71
202401;Enero de 2024;1;Andalucía;4;Almería;04071;Padules;10;0;<5;0;<5;<5;<5;<5;0;0;6
202401;Enero de 2024;1;Andalucía;4;Almería;04072;Partaloa;12;<5;<5;0;<5;5;0;<5;0;<5;5
202401;Enero de 2024;1;Andalucía;4;Almería;04073;Paterna del Río;<5;0;<5;0;0;<5;0;<5;0;0;<5
202401;Enero de 2024;1;Andalucía;4;Almería;04074;Pechina;44;17;5;<5;5;13;<5;18;6;5;15
202401;Enero de 2024;1;Andalucía;4;Almería;04075;Pulpí;1617;678;486;21;218;205;9;1409;17;28;163
202401;Enero de 2024;1;Andalucía;4;Almería;04076;Purchena;19;<5;6;<5;<5;6;<5;<5;<5;<5;12
202401;Enero de 2024;1;Andalucía;4;Almería;04077;Rágol;8;<5;<5;0;0;<5;0;<5;0;0;5
202401;Enero de 2024;1;Andalucía;4;Almería;04078;Rioja;15;5;<5;0;<5;<5;<5;<5;<5;0;8
